listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
19491355,basic,795000,for_sale,600,1800,609,1/9/23,2023
19244938,plus,795000,for_sale,500,1800,304.5,1/6/23,2023
19484335,basic,795000,for_sale,500,1600,609,1/5/23,2023
19489198,plus,795000,for_sale,500,2000,559.5,1/9/23,2023
18383195,basic,795000,for_sale,460,2650,799,3/6/22,2022
18381359,plus,795000,for_sale,460,2650,399.5,3/4/22,2022
18375999,basic,795000,for_sale,460,1950,799,3/4/22,2022
17880075,plus,795000,for_sale,460,1950,399.5,3/4/22,2022
18377215,basic,795000,for_sale,450,2640,799,3/4/22,2022
18094447,plus,795000,for_sale,410,2600,399.5,3/5/22,2022
18381422,basic,795000,for_sale,350,1840,449,3/4/22,2022
18380676,plus,795000,for_sale,350,1840,224.5,3/4/22,2022
18381820,premium,795000,for_sale,330,1820,224.5,3/4/22,2022
18381317,plus,795000,for_sale,310,1800,224.5,3/4/22,2022
18381132,basic,795000,for_sale,310,1800,449,3/4/22,2022
19260995,basic,800000,for_sale,700,2300,1119,1/9/23,2023
19489175,basic,800000,for_sale,600,2000,609,1/9/23,2023
18379716,basic,800000,for_sale,450,1940,799,3/4/22,2022
18376495,premium,800000,for_sale,310,2500,224.5,3/3/22,2022
18378295,basic,815000,for_sale,410,1900,799,3/4/22,2022
19485675,plus,825000,for_sale,800,2100,559.5,1/5/23,2023
19037305,plus,825000,for_sale,700,1800,414.5,1/7/23,2023
19488335,basic,825000,for_sale,700,2300,1119,1/7/23,2023
19490377,premium,825000,for_sale,600,2000,304.5,1/9/23,2023
19484617,basic,825000,for_sale,500,1700,609,1/5/23,2023
18382975,basic,825000,for_sale,460,1950,799,3/6/22,2022
19225479,plus,850000,for_sale,700,2100,784.5,1/5/23,2023
19256757,basic,850000,for_sale,700,2200,1119,1/6/23,2023
19466796,basic,850000,for_sale,700,2000,1119,1/6/23,2023
19484078,premium,850000,for_sale,700,2300,559.5,1/5/23,2023
19486902,basic,850000,for_sale,700,2100,1119,1/6/23,2023
19488197,plus,850000,for_sale,700,2200,559.5,1/7/23,2023
19487202,basic,850000,for_sale,600,1900,1119,1/6/23,2023
19488915,plus,850000,for_sale,600,1900,559.5,1/8/23,2023
19487824,basic,850000,for_sale,500,1900,609,1/6/23,2023
19488599,basic,850000,for_sale,500,1900,609,1/8/23,2023
18380708,basic,850000,for_sale,430,2620,799,3/4/22,2022
18380927,basic,850000,for_sale,410,2600,449,3/4/22,2022
18335917,basic,850000,for_sale,410,1900,799,3/4/22,2022
18380671,plus,850000,for_sale,400,1890,224.5,3/4/22,2022
18380643,basic,850000,for_sale,350,2540,449,3/4/22,2022
18379596,basic,850000,for_sale,350,1840,449,3/4/22,2022
18366155,basic,850000,for_sale,350,1840,449,3/4/22,2022
18374215,plus,850000,for_sale,350,1840,224.5,3/3/22,2022
18380840,plus,850000,for_sale,330,2520,224.5,3/4/22,2022
18379342,basic,850000,for_sale,330,2520,449,3/4/22,2022
18376556,basic,865000,for_sale,330,1820,449,3/4/22,2022
19487887,basic,875000,for_sale,800,2200,1119,1/7/23,2023
18379755,basic,875000,for_sale,710,2900,1399,3/4/22,2022
19489339,basic,875000,for_sale,700,2200,829,1/9/23,2023
18380782,basic,875000,for_sale,460,2650,799,3/4/22,2022
18376021,plus,875000,for_sale,450,1940,399.5,3/3/22,2022
18379260,basic,875000,for_sale,350,1840,449,3/4/22,2022
18380430,basic,875000,for_sale,330,1820,449,3/4/22,2022
19488696,basic,890000,for_sale,700,2100,1569,1/8/23,2023
18380549,plus,890000,for_sale,330,1820,224.5,3/4/22,2022
19356278,plus,895000,for_sale,800,1900,414.5,1/9/23,2023
18239935,plus,895000,for_sale,700,1800,414.5,1/5/23,2023
19376995,premium,895000,for_sale,700,2100,559.5,1/9/23,2023
19392236,plus,895000,for_sale,700,2000,559.5,1/9/23,2023
19472162,premium,895000,for_sale,700,2100,414.5,1/7/23,2023
19486656,plus,895000,for_sale,700,2000,559.5,1/5/23,2023
19487097,basic,895000,for_sale,700,1900,829,1/6/23,2023
19489897,basic,895000,for_sale,700,2300,1119,1/9/23,2023
19025119,basic,895000,for_sale,600,2200,829,1/6/23,2023
19224876,plus,895000,for_sale,600,1600,559.5,1/7/23,2023
19487171,basic,895000,for_sale,600,2000,1119,1/6/23,2023
19490235,plus,895000,for_sale,600,1900,304.5,1/9/23,2023
18990377,plus,895000,for_sale,500,1800,414.5,1/6/23,2023
19487777,basic,895000,for_sale,500,2000,609,1/6/23,2023
18382677,basic,895000,for_sale,460,1950,799,3/5/22,2022
18381179,basic,895000,for_sale,460,1950,799,3/4/22,2022
18379343,basic,895000,for_sale,460,1950,799,3/4/22,2022
18380988,basic,895000,for_sale,410,1900,799,3/4/22,2022
18380709,basic,895000,for_sale,350,1840,449,3/4/22,2022
18379995,basic,895000,for_sale,350,1840,449,3/4/22,2022
18354959,basic,895000,for_sale,350,1840,449,3/4/22,2022
18381602,basic,895000,for_sale,330,1820,449,3/4/22,2022
18377736,plus,895000,for_sale,330,1820,224.5,3/4/22,2022
18382550,plus,895000,for_sale,310,1800,224.5,3/5/22,2022
19349475,basic,900000,for_sale,600,2000,1119,1/9/23,2023
19434155,basic,900000,for_sale,600,2000,829,1/9/23,2023
18381495,basic,900000,for_sale,410,1900,799,3/4/22,2022
18381236,plus,900000,for_sale,330,1820,224.5,3/4/22,2022
19463177,basic,925000,for_sale,600,1600,1119,1/6/23,2023
18381330,basic,925000,for_sale,460,1950,799,3/4/22,2022
19038984,plus,945000,for_sale,700,1900,414.5,1/7/23,2023
18904495,premium,950000,for_sale,700,2100,414.5,1/9/23,2023
18904615,premium,950000,for_sale,700,2100,414.5,1/9/23,2023
19133397,basic,950000,for_sale,700,2100,829,1/7/23,2023
19413415,basic,950000,for_sale,700,2000,1399,1/6/23,2023
19486978,basic,950000,for_sale,700,2000,829,1/6/23,2023
19487302,basic,950000,for_sale,700,2200,829,1/6/23,2023
19488715,basic,950000,for_sale,700,2100,1569,1/8/23,2023
19485076,basic,950000,for_sale,600,1900,609,1/5/23,2023
19491055,basic,950000,for_sale,600,2000,829,1/9/23,2023
19489018,basic,950000,for_sale,500,1700,609,1/9/23,2023
18380116,basic,950000,for_sale,450,1940,799,3/4/22,2022
18372800,plus,950000,for_sale,450,2640,399.5,3/3/22,2022
18125356,plus,950000,for_sale,410,1900,399.5,3/3/22,2022
